scenario_id,aggregator_type,alignment,est_threshold,lst_threshold,max_group_size,baseline_cost,aggregated_cost,savings,scenario_time,NrOfFlexOffers
122,1,0,4,4,5,52.3165,41.8532,10.4633,0.220267,50
123,1,0,4,4,5,107.741,86.1927,21.5482,1.73326,100
124,1,0,4,4,5,218.517,174.814,43.7035,14.8443,200
125,1,0,4,4,10,11.6706,9.33651,2.33413,0.00249894,10
126,1,0,4,4,10,52.3165,41.8532,10.4633,0.230957,50
127,1,0,4,4,10,107.741,86.1927,21.5482,1.89461,100
128,1,0,4,4,10,218.517,174.814,43.7035,15.2008,200
129,1,0,4,4,50,11.6706,9.33651,2.33413,0.00221293,10
130,1,0,4,4,50,52.3165,41.9009,10.4156,0.236814,50
131,1,0,4,4,50,107.741,86.1927,21.5482,1.89729,100
132,1,0,4,4,50,218.517,174.814,43.7035,15.2897,200
133,1,0,6,6,5,11.6706,9.33651,2.33413,0.00213171,10
134,1,0,6,6,5,52.3165,41.8532,10.4633,0.218438,50
135,1,0,6,6,5,107.741,86.1927,21.5482,1.72901,100
136,1,0,6,6,5,218.517,174.814,43.7035,14.4725,200
137,1,0,6,6,10,11.6706,9.33651,2.33413,0.00235401,10
138,1,0,6,6,10,52.3165,41.8532,10.4633,0.225782,50
139,1,0,6,6,10,107.741,86.1927,21.5482,1.85896,100
140,1,0,6,6,10,218.517,174.814,43.7035,14.9729,200
141,1,0,6,6,50,11.6706,9.33651,2.33413,0.00223316,10
142,1,0,6,6,50,52.3165,41.9009,10.4156,0.238189,50
143,1,0,6,6,50,107.741,86.1927,21.5482,1.94261,100
144,1,0,6,6,50,218.517,174.814,43.7035,15.6046,200
145,1,1,2,2,5,11.6706,9.72064,1.95,0.00246775,10
146,1,1,2,2,5,52.3165,41.1856,11.1309,0.244998,50
147,1,1,2,2,5,107.741,85.7829,21.958,1.81052,100
148,1,1,2,2,5,218.517,174.329,44.1884,14.4969,200
149,1,1,2,2,10,11.6706,9.72064,1.95,0.00228015,10
150,1,1,2,2,10,52.3165,40.9992,11.3173,0.231519,50
151,1,1,2,2,10,107.741,85.3938,22.3471,1.89405,100
152,1,1,2,2,10,218.517,174.1,44.4174,15.4459,200
153,1,1,2,2,50,11.6706,9.72064,1.95,0.00221711,10
154,1,1,2,2,50,52.3165,40.6797,11.6367,0.239603,50
155,1,1,2,2,50,107.741,85.0999,22.641,1.932,100
156,1,1,2,2,50,218.517,173.248,45.2689,15.3995,200
157,1,1,4,4,5,11.6706,9.72064,1.95,0.00242249,10
158,1,1,4,4,5,52.3165,41.1856,11.1309,0.220729,50
159,1,1,4,4,5,107.741,85.7829,21.958,1.75852,100
160,1,1,4,4,5,218.517,174.329,44.1884,14.5348,200
161,1,1,4,4,10,11.6706,9.33651,2.33413,0.00226015,10
162,1,1,4,4,10,52.3165,40.9992,11.3173,0.224563,50
