_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,,,,,,,,,
5cfda49df9af8b26b1f0558a,39,"Mon, 20 May 2019 15:09:38 GMT","Mon, 20 May 2019 17:24:59 GMT","Mon, 20 May 2019 16:50:26 GMT",5.661,2_39_131_30_2019-05-24 15:09:37.525706,2,CA-305,2-39-131-30,America/Los_Angeles,1564,"[{""WhPerMile"":300","kWhRequested"":6.0,""milesRequested"":20,""minutesAvailable"":126,""modifiedAt"":""Fri, 24 May 2019 15:10:05 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:15:38 GMT","userID"":1564},{""WhPerMile"":300,""kWhRequested"":6.0,""milesRequested"":20,""minutesAvailable"":126,""modifiedAt"":""Fri, 24 May 2019 17:23:18 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:15:38 GMT","""userID"":1564}]",,,,
5cfda49df9af8b26b1f05595,39,"Mon, 20 May 2019 16:29:26 GMT","Mon, 20 May 2019 20:33:25 GMT","Mon, 20 May 2019 18:34:04 GMT",6.328,2_39_91_437_2019-05-24 16:29:25.871680,2,CA-317,2-39-91-437,America/Los_Angeles,1222,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":72,""modifiedAt"":""Fri, 24 May 2019 16:29:35 GMT","paymentRequired"":true,""requestedDeparture"":""Fri, 24 May 2019 17:41:26 GMT","""userID"":1222}]",,,,,,
5cfda49df9af8b26b1f055a3,39,"Mon, 20 May 2019 03:20:40 GMT","Mon, 20 May 2019 05:30:03 GMT","Mon, 20 May 2019 05:09:21 GMT",5.694,2_39_83_386_2019-05-25 03:20:40.071826,2,CA-212,2-39-83-386,America/Los_Angeles,1864,"[{""WhPerMile"":333","kWhRequested"":9.99,""milesRequested"":30,""minutesAvailable"":120,""modifiedAt"":""Sat, 25 May 2019 03:20:48 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 05:20:40 GMT","""userID"":1864}]",,,,,,
5cfda49df9af8b26b1f055a4,39,"Mon, 20 May 2019 06:07:31 GMT","Mon, 20 May 2019 19:08:28 GMT","Mon, 20 May 2019 09:44:07 GMT",11.504,2_39_127_19_2019-05-25 06:07:31.077102,2,CA-309,2-39-127-19,America/Los_Angeles,1202,"[{""WhPerMile"":375","kWhRequested"":15.0,""milesRequested"":40,""minutesAvailable"":68,""modifiedAt"":""Sat, 25 May 2019 06:08:16 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 07:15:31 GMT","""userID"":1202}]",,,,,,
5cfef610f9af8b2ac3736254,39,"Mon, 20 May 2019 16:34:20 GMT","Mon, 20 May 2019 17:56:14 GMT","Mon, 20 May 2019 17:56:05 GMT",4.56,2_39_79_378_2019-05-25 16:34:19.551439,2,CA-326,2-39-79-378,America/Los_Angeles,1007,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":162,""modifiedAt"":""Sat, 25 May 2019 16:35:14 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:16:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":172,""modifiedAt"":""Sat, 25 May 2019 16:36:04 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:26:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":193,""modifiedAt"":""Sat, 25 May 2019 16:36:38 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:47:20 GMT","userID"":1007},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":193,""modifiedAt"":""Sat, 25 May 2019 17:56:04 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 19:47:20 GMT","""userID"":1007}]"
5cfef610f9af8b2ac3736256,39,"Mon, 20 May 2019 18:04:47 GMT","Mon, 20 May 2019 20:08:55 GMT","Mon, 20 May 2019 20:08:51 GMT",14.194,2_39_131_30_2019-05-25 18:04:47.110961,2,CA-305,2-39-131-30,America/Los_Angeles,248,"[{""WhPerMile"":250","kWhRequested"":15.0,""milesRequested"":60,""minutesAvailable"":137,""modifiedAt"":""Sat, 25 May 2019 18:05:06 GMT","paymentRequired"":true,""requestedDeparture"":""Sat, 25 May 2019 20:21:47 GMT","""userID"":248}]",,,,,,
5cfef610f9af8b2ac373625c,39,"Mon, 20 May 2019 05:27:48 GMT","Mon, 20 May 2019 14:37:51 GMT","Mon, 20 May 2019 09:52:24 GMT",15.368,2_39_130_31_2019-05-26 05:27:47.511232,2,CA-306,2-39-130-31,America/Los_Angeles,1272,"[{""WhPerMile"":400","kWhRequested"":24.0,""milesRequested"":60,""minutesAvailable"":62,""modifiedAt"":""Sun, 26 May 2019 05:27:54 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 06:29:48 GMT","""userID"":1272}]",,,,,,
5d00478ef9af8b2fb7fd4ba9,39,"Mon, 20 May 2019 11:33:54 GMT","Mon, 20 May 2019 15:46:34 GMT","Mon, 20 May 2019 15:41:42 GMT",26,2_39_79_383_2019-05-26 11:33:54.353520,2,CA-492,2-39-79-383,America/Los_Angeles,850,"[{""WhPerMile"":300","kWhRequested"":30.0,""milesRequested"":100,""minutesAvailable"":720,""modifiedAt"":""Sun, 26 May 2019 11:34:03 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 23:33:54 GMT","""userID"":850}]",,,,,,
5d00478ef9af8b2fb7fd4baa,39,"Mon, 20 May 2019 14:50:51 GMT","Mon, 20 May 2019 17:06:16 GMT","Mon, 20 May 2019 16:14:58 GMT",4.244,2_39_89_25_2019-05-26 14:50:50.510951,2,CA-315,2-39-89-25,America/Los_Angeles,743,"[{""WhPerMile"":400","kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":74,""modifiedAt"":""Sun, 26 May 2019 14:51:25 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 16:04:51 GMT","userID"":743},{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":60,""modifiedAt"":""Sun, 26 May 2019 14:51:42 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 15:50:51 GMT","""userID"":743}]",,,,
5d00478ef9af8b2fb7fd4bab,39,"Mon, 20 May 2019 16:51:07 GMT","Mon, 20 May 2019 18:27:12 GMT","Mon, 20 May 2019 18:26:51 GMT",10.667,2_39_129_17_2019-05-26 16:51:07.045703,2,CA-307,2-39-129-17,America/Los_Angeles,1346,"[{""WhPerMile"":400","kWhRequested"":32.0,""milesRequested"":80,""minutesAvailable"":60,""modifiedAt"":""Sun, 26 May 2019 16:52:23 GMT","paymentRequired"":true,""requestedDeparture"":""Sun, 26 May 2019 17:51:07 GMT","""userID"":1346}]",,,,,,
